,x,y,leader,V1,V2,V3,V4,V5,V6
1,-123.1865251,49.25379804,FALSE,Customer 30,Customer 25,Customer 2,Customer 27,Customer 8,Customer 15
2,-123.1863497,49.25228193,TRUE,Customer 24,Customer 9,Customer 1,Customer 7,Customer 11,Customer 13
3,-123.1818635,49.25430296,FALSE,Customer 23,Depot,Customer 4,Depot,Depot,Customer 14
4,-123.1849536,49.25466598,FALSE,Customer 10,,Customer 28,,,Customer 20
5,-123.1795695,49.25540617,FALSE,Customer 12,,Customer 29,,,Customer 18
6,-123.1835222,49.2508458,FALSE,Depot,,Customer 26,,,Customer 19
7,-123.1807534,49.25097099,FALSE,,,Customer 5,,,Customer 16
8,-123.1838065,49.24875922,TRUE,,,Customer 3,,,Customer 17
9,-123.1837242,49.24767058,FALSE,,,Depot,,,Customer 21
10,-123.1793964,49.24779798,FALSE,,,,,,Customer 22
11,-123.1814856,49.24867519,FALSE,,,,,,Customer 6
12,-123.1806098,49.24760536,FALSE,,,,,,Depot
13,-123.1812067,49.24487253,FALSE,,,,,,
14,-123.1839791,49.24467211,FALSE,,,,,,
15,-123.1829606,49.2443946,TRUE,,,,,,
16,-123.1877775,49.24477193,FALSE,,,,,,
17,-123.1879755,49.24550777,FALSE,,,,,,
18,-123.1851976,49.24237609,FALSE,,,,,,
19,-123.1851628,49.24237631,FALSE,,,,,,
20,-123.1852084,49.24237605,FALSE,,,,,,
21,-123.188147,49.24672746,FALSE,,,,,,
22,-123.1883227,49.24811307,FALSE,,,,,,
23,-123.1722237,49.2450556,FALSE,,,,,,
24,-123.1715008,49.24498078,FALSE,,,,,,
25,-123.1712582,49.2460794,TRUE,,,,,,
26,-123.1781614,49.25360764,FALSE,,,,,,
27,-123.1773525,49.25126243,TRUE,,,,,,
28,-123.1825434,49.25735562,FALSE,,,,,,
29,-123.1803104,49.2576078,FALSE,,,,,,
30,-123.1701892,49.24398689,TRUE,,,,,,
