,x,y,region,leader,clusters,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-123.1759864,49.26169915,Bayview Community Elementary,TRUE,1,Customer 1,Customer 30,Customer 20,Customer 8,Customer 12,Customer 15,Customer 14,Customer 4,Customer 9
2,-123.1759545,49.26367966,Bayview Community Elementary,FALSE,1,Customer 3,Customer 29,Customer 19,,Customer 17,,,Customer 5,Customer 16
3,-123.1770015,49.2619707,Bayview Community Elementary,FALSE,1,Customer 2,Customer 26,Customer 21,,Customer 18,,,,Customer 13
4,-123.1783547,49.26202544,Bayview Community Elementary,TRUE,2,Customer 6,Customer 25,Customer 24,,Customer 10,,,,Customer 11
5,-123.1811011,49.26313895,Bayview Community Elementary,FALSE,9,Customer 7,,Customer 23,,,,,,
6,-123.1812183,49.26358925,Bayview Community Elementary,FALSE,9,,,Customer 28,,,,,,
7,-123.1822805,49.26557938,Bayview Community Elementary,FALSE,3,,,Customer 27,,,,,,
8,-123.1829682,49.2664635,Bayview Community Elementary,TRUE,3,,,Customer 22,,,,,,
9,-123.1868174,49.27188089,Bayview Community Elementary,TRUE,4,,,,,,,,,
10,-123.1828421,49.26913761,Bayview Community Elementary,FALSE,5,,,,,,,,,
11,-123.1804945,49.26944279,Bayview Community Elementary,FALSE,6,,,,,,,,,
12,-123.1846904,49.26867803,Bayview Community Elementary,TRUE,5,,,,,,,,,
13,-123.1790262,49.27028982,Bayview Community Elementary,FALSE,6,,,,,,,,,
14,-123.179485,49.2691623,Bayview Community Elementary,TRUE,6,,,,,,,,,
15,-123.1777608,49.26758048,Bayview Community Elementary,TRUE,7,,,,,,,,,
16,-123.1832915,49.27278678,Bayview Community Elementary,FALSE,4,,,,,,,,,
17,-123.1904429,49.26901383,Bayview Community Elementary,TRUE,8,,,,,,,,,
18,-123.1879534,49.26918809,Bayview Community Elementary,FALSE,8,,,,,,,,,
19,-123.1803956,49.26137861,Bayview Community Elementary,FALSE,9,,,,,,,,,
20,-123.1811774,49.26153365,Bayview Community Elementary,TRUE,9,,,,,,,,,
21,-123.1808132,49.26069479,Bayview Community Elementary,FALSE,9,,,,,,,,,
22,-123.1818491,49.26147425,Bayview Community Elementary,FALSE,9,,,,,,,,,
23,-123.1849659,49.26060185,Bayview Community Elementary,FALSE,9,,,,,,,,,
24,-123.1839733,49.25985518,Bayview Community Elementary,FALSE,9,,,,,,,,,
25,-123.1833449,49.26426157,Bayview Community Elementary,FALSE,3,,,,,,,,,
26,-123.1830465,49.26369273,Bayview Community Elementary,FALSE,3,,,,,,,,,
27,-123.1845709,49.261757,Bayview Community Elementary,FALSE,9,,,,,,,,,
28,-123.1858988,49.26123342,Bayview Community Elementary,FALSE,10,,,,,,,,,
29,-123.1864416,49.26365181,Bayview Community Elementary,FALSE,10,,,,,,,,,
30,-123.18775,49.26389882,Bayview Community Elementary,TRUE,10,,,,,,,,,
