,x,y,leader,V1,V2,V3,V4,V5,V6,V7
1,-123.1011357,49.25517054,FALSE,Customer 23,Customer 14,Customer 5,Customer 15,Customer 24,Customer 10,Customer 9
2,-123.1011435,49.25523255,FALSE,Customer 30,Depot,Depot,Customer 17,Customer 25,Customer 11,Customer 28
3,-123.1011031,49.2551392,FALSE,Customer 22,,,Depot,Customer 27,Customer 12,Customer 29
4,-123.0999143,49.25054912,FALSE,Customer 19,,,,Customer 26,Customer 8,Customer 7
5,-123.0993427,49.24880648,TRUE,Customer 18,,,,Customer 13,Depot,Customer 6
6,-123.0991853,49.24880383,FALSE,Customer 20,,,,Customer 4,,Depot
7,-123.0980768,49.24878211,FALSE,Customer 21,,,,Depot,,
8,-123.0957584,49.24827988,FALSE,Customer 2,,,,,,
9,-123.0958337,49.2457898,TRUE,Customer 1,,,,,,
10,-123.0955804,49.24766761,TRUE,Customer 3,,,,,,
11,-123.0949235,49.24652687,FALSE,Customer 16,,,,,,
12,-123.0951173,49.24791758,FALSE,Depot,,,,,,
13,-123.0933722,49.24978664,FALSE,,,,,,,
14,-123.0970098,49.25198772,TRUE,,,,,,,
15,-123.095956,49.25151441,TRUE,,,,,,,
16,-123.1006321,49.25305108,FALSE,,,,,,,
17,-123.0996245,49.2522026,FALSE,,,,,,,
18,-123.0993436,49.2545255,FALSE,,,,,,,
19,-123.097107,49.25434521,FALSE,,,,,,,
20,-123.0985784,49.25522883,FALSE,,,,,,,
21,-123.100034,49.25512524,FALSE,,,,,,,
22,-123.092858,49.25537895,FALSE,,,,,,,
23,-123.090088,49.2541893,TRUE,,,,,,,
24,-123.0899797,49.25217237,TRUE,,,,,,,
25,-123.0899644,49.2526659,FALSE,,,,,,,
26,-123.0900467,49.25126735,FALSE,,,,,,,
27,-123.0900521,49.25143736,FALSE,,,,,,,
28,-123.090174,49.24585378,FALSE,,,,,,,
29,-123.0901414,49.24834876,FALSE,,,,,,,
30,-123.089902,49.25528026,FALSE,,,,,,,
