,x,y,leader,clusters,V1,V2,V3,V4,V5,V6
1,-123.0474344,49.27253681,FALSE,1,Customer 4,Customer 23,Customer 21,Customer 22,Customer 25,Customer 14
2,-123.0490018,49.27294238,FALSE,1,Customer 16,,Customer 5,Customer 17,Customer 24,Customer 15
3,-123.048768,49.27292439,FALSE,1,Customer 7,,Customer 6,Customer 18,Customer 27,Customer 12
4,-123.0478653,49.27055613,TRUE,1,Customer 3,,Customer 28,,Customer 26,Customer 13
5,-123.0542201,49.27100329,FALSE,1,Customer 2,,Customer 9,,Customer 30,
6,-123.0526056,49.2709473,FALSE,1,Customer 29,,Customer 11,,,
7,-123.0493453,49.27158165,FALSE,1,Customer 1,,Customer 10,,,
8,-123.0584357,49.27392334,FALSE,6,Customer 19,,Customer 8,,,
9,-123.0524627,49.2754713,FALSE,6,Customer 20,,,,,
10,-123.0563425,49.27605588,FALSE,6,,,,,,
11,-123.0537428,49.27552808,FALSE,6,,,,,,
12,-123.0617439,49.27680705,FALSE,2,,,,,,
13,-123.0630018,49.27613745,FALSE,2,,,,,,
14,-123.0647019,49.27236206,TRUE,2,,,,,,
15,-123.0682565,49.27188435,FALSE,2,,,,,,
16,-123.04777,49.26965345,FALSE,1,,,,,,
17,-123.0606806,49.26705732,FALSE,4,,,,,,
18,-123.061412,49.26739259,FALSE,3,,,,,,
19,-123.0582353,49.27161719,FALSE,4,,,,,,
20,-123.060449,49.2717195,FALSE,5,,,,,,
21,-123.0607797,49.26866196,TRUE,3,,,,,,
22,-123.0605246,49.26852,TRUE,4,,,,,,
23,-123.0617492,49.26905115,TRUE,5,,,,,,
24,-123.0537929,49.27818412,FALSE,6,,,,,,
25,-123.0551988,49.27762811,TRUE,6,,,,,,
26,-123.0493671,49.27639733,FALSE,6,,,,,,
27,-123.0480283,49.27677916,FALSE,1,,,,,,
28,-123.0516329,49.27464447,FALSE,6,,,,,,
29,-123.0478421,49.27349799,FALSE,1,,,,,,
30,-123.0503082,49.27414167,FALSE,1,,,,,,
