"","x","y","region"
"1",-123.077436273155,49.2726750226957,"Admiral Seymour Elementary"
"2",-123.077438612269,49.2706542927178,"Admiral Seymour Elementary"
"3",-123.079085678706,49.2698864902059,"Admiral Seymour Elementary"
"4",-123.080828610383,49.2733783977025,"Admiral Seymour Elementary"
"5",-123.084959942853,49.2774610460133,"Admiral Seymour Elementary"
"6",-123.08430337936,49.2806682260139,"Admiral Seymour Elementary"
"7",-123.083305138143,49.2791314131883,"Admiral Seymour Elementary"
"8",-123.084744928591,49.280243681921,"Admiral Seymour Elementary"
"9",-123.084114385133,49.2786045053098,"Admiral Seymour Elementary"
"10",-123.08282598207,49.2800041834969,"Admiral Seymour Elementary"
"11",-123.08379251399,49.2786522104362,"Admiral Seymour Elementary"
"12",-123.083743016524,49.2805652702344,"Admiral Seymour Elementary"
"13",-123.07931123568,49.2801997197452,"Admiral Seymour Elementary"
"14",-123.074113378012,49.2795436340539,"Admiral Seymour Elementary"
"15",-123.07177420494,49.2805040066162,"Admiral Seymour Elementary"
"16",-123.070726192283,49.2779696933026,"Admiral Seymour Elementary"
"17",-123.072087584076,49.2791987492389,"Admiral Seymour Elementary"
"18",-123.069503256738,49.2768523512339,"Admiral Seymour Elementary"
"19",-123.069525447704,49.2770348942252,"Admiral Seymour Elementary"
"20",-123.069535030199,49.2767724445416,"Admiral Seymour Elementary"
"21",-123.069561513165,49.2770456777336,"Admiral Seymour Elementary"
"22",-123.069551240838,49.2770668409752,"Admiral Seymour Elementary"
"23",-123.070368305911,49.2808311222383,"Admiral Seymour Elementary"
"24",-123.070365575776,49.2802756685863,"Admiral Seymour Elementary"
"25",-123.070359330384,49.2803029577225,"Admiral Seymour Elementary"
"26",-123.069522364167,49.2766518045532,"Admiral Seymour Elementary"
"27",-123.069504804013,49.2766515816267,"Admiral Seymour Elementary"
"28",-123.06947426291,49.2766539970117,"Admiral Seymour Elementary"
"29",-123.077429038071,49.2742341665482,"Admiral Seymour Elementary"
"30",-123.077503343708,49.2741332167754,"Admiral Seymour Elementary"
"31",-123.175986351232,49.2616991452097,"Bayview Community Elementary"
"32",-123.175954455397,49.263679659419,"Bayview Community Elementary"
"33",-123.177001509682,49.2619707016947,"Bayview Community Elementary"
"34",-123.178354676722,49.2620254370117,"Bayview Community Elementary"
"35",-123.181101052717,49.2631389478163,"Bayview Community Elementary"
"36",-123.181218263168,49.2635892494969,"Bayview Community Elementary"
"37",-123.182280476631,49.265579377621,"Bayview Community Elementary"
"38",-123.18296820948,49.2664635021034,"Bayview Community Elementary"
"39",-123.186817449856,49.2718808910781,"Bayview Community Elementary"
"40",-123.182842095203,49.2691376133888,"Bayview Community Elementary"
"41",-123.180494548175,49.2694427920501,"Bayview Community Elementary"
"42",-123.184690366378,49.2686780258463,"Bayview Community Elementary"
"43",-123.179026200166,49.2702898247776,"Bayview Community Elementary"
"44",-123.179485004316,49.2691623012708,"Bayview Community Elementary"
"45",-123.177760777368,49.2675804766042,"Bayview Community Elementary"
"46",-123.183291531469,49.2727867800582,"Bayview Community Elementary"
"47",-123.190442898673,49.269013831784,"Bayview Community Elementary"
"48",-123.187953448465,49.2691880927773,"Bayview Community Elementary"
"49",-123.180395620449,49.2613786061972,"Bayview Community Elementary"
"50",-123.181177424188,49.2615336477539,"Bayview Community Elementary"
"51",-123.180813202037,49.2606947933396,"Bayview Community Elementary"
"52",-123.181849073582,49.261474245803,"Bayview Community Elementary"
"53",-123.184965925191,49.2606018465297,"Bayview Community Elementary"
"54",-123.183973274989,49.2598551821905,"Bayview Community Elementary"
"55",-123.183344897377,49.2642615726697,"Bayview Community Elementary"
"56",-123.183046488998,49.2636927257942,"Bayview Community Elementary"
"57",-123.184570868105,49.2617569974333,"Bayview Community Elementary"
"58",-123.185898811791,49.2612334170281,"Bayview Community Elementary"
"59",-123.186441622976,49.2636518106029,"Bayview Community Elementary"
"60",-123.187749973242,49.2638988208514,"Bayview Community Elementary"
"61",-123.06561553573,49.2769766115187,"Britannia Community Elementary"
"62",-123.065628167284,49.2736901309976,"Britannia Community Elementary"
"63",-123.065674445653,49.2736256562671,"Britannia Community Elementary"
"64",-123.065646391337,49.2734930663213,"Britannia Community Elementary"
"65",-123.06564872851,49.2737587849039,"Britannia Community Elementary"
"66",-123.065669866707,49.2735522133742,"Britannia Community Elementary"
"67",-123.065672783445,49.2735773744849,"Britannia Community Elementary"
"68",-123.068343000398,49.2738686787026,"Britannia Community Elementary"
"69",-123.06961547437,49.2727035205331,"Britannia Community Elementary"
"70",-123.070760436144,49.2739109371656,"Britannia Community Elementary"
"71",-123.069619340703,49.2702138853473,"Britannia Community Elementary"
"72",-123.069635177724,49.2699502750532,"Britannia Community Elementary"
"73",-123.071240579279,49.2698338475054,"Britannia Community Elementary"
"74",-123.069838258529,49.2700213476502,"Britannia Community Elementary"
"75",-123.071796908135,49.2721472795388,"Britannia Community Elementary"
"76",-123.073850242488,49.2738994234812,"Britannia Community Elementary"
"77",-123.071816266928,49.273676235939,"Britannia Community Elementary"
"78",-123.075226162798,49.2696303458544,"Britannia Community Elementary"
"79",-123.073203780238,49.2696129189916,"Britannia Community Elementary"
"80",-123.077280784962,49.2751950741648,"Britannia Community Elementary"
"81",-123.077291241513,49.2750875327014,"Britannia Community Elementary"
"82",-123.077272243665,49.2762348452598,"Britannia Community Elementary"
"83",-123.073208907159,49.2767263338084,"Britannia Community Elementary"
"84",-123.071657350345,49.2766892859044,"Britannia Community Elementary"
"85",-123.071416537587,49.276688109908,"Britannia Community Elementary"
"86",-123.068847468989,49.2777911596453,"Britannia Community Elementary"
"87",-123.066639181749,49.2774235792997,"Britannia Community Elementary"
"88",-123.067066594994,49.2753793176905,"Britannia Community Elementary"
"89",-123.068802083757,49.2765299585199,"Britannia Community Elementary"
"90",-123.07597341056,49.2752936700457,"Britannia Community Elementary"
"91",-123.047002508484,49.2196438773513,"Captain James Cook Elementary"
"92",-123.042991600007,49.2188820464672,"Captain James Cook Elementary"
"93",-123.041738506576,49.218648396378,"Captain James Cook Elementary"
"94",-123.044186992738,49.2199850656169,"Captain James Cook Elementary"
"95",-123.043587052282,49.2188567564634,"Captain James Cook Elementary"
