,x,y,region,leader,clusters,V1,V2,V3,V4,V5,V6,V7,V8
1,-123.0395292,49.26417852,Chief Maquinna Elementary,FALSE,1,Customer 2,Customer 25,Customer 23,Customer 19,Customer 8,Customer 9,Customer 20,Customer 12
2,-123.0412698,49.26622692,Chief Maquinna Elementary,TRUE,1,Customer 5,Customer 24,Customer 22,,Customer 10,Customer 13,Customer 26,
3,-123.0396716,49.2671267,Chief Maquinna Elementary,FALSE,1,Customer 7,Customer 27,Customer 21,,Customer 4,,Customer 18,
4,-123.0391191,49.26732556,Chief Maquinna Elementary,FALSE,1,Customer 6,Customer 28,Customer 29,,Customer 3,,,
5,-123.0413969,49.26634961,Chief Maquinna Elementary,FALSE,1,Customer 1,Customer 30,,,Customer 14,,,
6,-123.0394904,49.26674174,Chief Maquinna Elementary,FALSE,1,Customer 15,Customer 17,,,,,,
7,-123.0406719,49.26652418,Chief Maquinna Elementary,FALSE,1,Customer 11,Customer 16,,,,,,
8,-123.0419391,49.2686842,Chief Maquinna Elementary,TRUE,2,,,,,,,,
9,-123.0427853,49.26573489,Chief Maquinna Elementary,TRUE,3,,,,,,,,
10,-123.0391961,49.26929551,Chief Maquinna Elementary,FALSE,2,,,,,,,,
11,-123.0463409,49.26735453,Chief Maquinna Elementary,FALSE,4,,,,,,,,
12,-123.0490755,49.26650347,Chief Maquinna Elementary,TRUE,4,,,,,,,,
13,-123.0473952,49.26685661,Chief Maquinna Elementary,FALSE,4,,,,,,,,
14,-123.0474661,49.26758378,Chief Maquinna Elementary,FALSE,4,,,,,,,,
15,-123.0443645,49.26448221,Chief Maquinna Elementary,FALSE,3,,,,,,,,
16,-123.0461677,49.26376021,Chief Maquinna Elementary,FALSE,3,,,,,,,,
17,-123.0453805,49.26214166,Chief Maquinna Elementary,FALSE,3,,,,,,,,
18,-123.052132,49.26351598,Chief Maquinna Elementary,FALSE,6,,,,,,,,
19,-123.0501899,49.26664578,Chief Maquinna Elementary,TRUE,5,,,,,,,,
20,-123.0532057,49.26205232,Chief Maquinna Elementary,TRUE,6,,,,,,,,
21,-123.0547361,49.26207065,Chief Maquinna Elementary,FALSE,7,,,,,,,,
22,-123.0550839,49.26205378,Chief Maquinna Elementary,FALSE,7,,,,,,,,
23,-123.0533407,49.26204169,Chief Maquinna Elementary,TRUE,7,,,,,,,,
24,-123.0525235,49.26019779,Chief Maquinna Elementary,FALSE,8,,,,,,,,
25,-123.0516272,49.25914262,Chief Maquinna Elementary,TRUE,8,,,,,,,,
26,-123.0527359,49.26157999,Chief Maquinna Elementary,FALSE,6,,,,,,,,
27,-123.0526434,49.25969063,Chief Maquinna Elementary,FALSE,8,,,,,,,,
28,-123.0512808,49.25893437,Chief Maquinna Elementary,FALSE,8,,,,,,,,
29,-123.0530788,49.26727774,Chief Maquinna Elementary,FALSE,5,,,,,,,,
30,-123.0442119,49.2583067,Chief Maquinna Elementary,FALSE,8,,,,,,,,
